source_mat_id,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orchid,tidal_stage,depth,size_frac_low,size_frac_up,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_dur,samp_deposit_date,samp_store_loc,samp_store_temp,store_person,store_person_orchid,other_person,other_person_orchid,samp_size,ship_date
EMO BON EMT21 So 211020 macro 1mm (1),metagenome,sediment [ENVO:00002007],2021-10-20T10:30+02:00,EMT21 Wa 211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,2,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,82.0,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,10.0,2022-01-10
EMO BON EMT21 So 211020 macro 1mm (2),metagenome,sediment [ENVO:00002007],2021-10-20T10:30+02:00,EMT21 Wa 211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,2,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,82.0,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,10.0,2022-01-10
EMO BON EMT21 So 211020 macro 1mm (3),metagenome,sediment [ENVO:00002007],2021-10-20T10:30+02:00,EMT21 Wa 211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,2,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,10.0,
EMO BON EMT21 So 211020 macro 1mm (4),metagenome,sediment [ENVO:00002007],2021-10-20T10:30+02:00,EMT21 Wa 211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,2,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,10.0,
EMO BON EMT21 So 211020 macro 500um (1),metagenome,sediment [ENVO:00002007],2021-10-20T10:30+02:00,EMT21 Wa 211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,2,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,82.0,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,10.0,2022-01-10
EMO BON EMT21 So 211020 macro 500um (2),metagenome,sediment [ENVO:00002007],2021-10-20T10:30+02:00,EMT21 Wa 211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,2,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,82.0,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,10.0,2022-01-10
EMO BON EMT21 So 211020 macro 500um (3),metagenome,sediment [ENVO:00002007],2021-10-20T10:30+02:00,EMT21 Wa 211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,2,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,10.0,
EMO BON EMT21 So 211020 macro 500um (4),metagenome,sediment [ENVO:00002007],2021-10-20T10:30+02:00,EMT21 Wa 211020,Jose González,https://orcid.org/0000-0003-1576-9819,low_tide,2,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,,2021-10-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,10.0,
EMO BON EMT21 So 220420 macro 1mm (1),metagenome,sediment [ENVO:00002007],2022-04-20T09:30+02:00,EMT21 Wa 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,163.0,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 220420 macro 1mm (2),metagenome,sediment [ENVO:00002007],2022-04-20T09:30+02:00,EMT21 Wa 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,163.0,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 220420 macro 1mm (3),metagenome,sediment [ENVO:00002007],2022-04-20T09:30+02:00,EMT21 Wa 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 220420 macro 1mm (4),metagenome,sediment [ENVO:00002007],2022-04-20T09:30+02:00,EMT21 Wa 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 220420 macro 500um (1),metagenome,sediment [ENVO:00002007],2022-04-20T09:30+02:00,EMT21 Wa 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,163.0,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 220420 macro 500um (2),metagenome,sediment [ENVO:00002007],2022-04-20T09:30+02:00,EMT21 Wa 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,163.0,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 220420 macro 500um (3),metagenome,sediment [ENVO:00002007],2022-04-20T09:30+02:00,EMT21 Wa 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 220420 macro 500um (4),metagenome,sediment [ENVO:00002007],2022-04-20T09:30+02:00,EMT21 Wa 220420,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-04-20,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 221028 macro 1mm (1),metagenome,sediment [ENVO:00002007],2022-10-28T09:15+02:00,EMT21 Wa 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 221028 macro 1mm (2),metagenome,sediment [ENVO:00002007],2022-10-28T09:15+02:00,EMT21 Wa 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 221028  macro 1mm (3),metagenome,sediment [ENVO:00002007],2022-10-28T09:15+02:00,EMT21 Wa 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 221028 macro 1mm (4),metagenome,sediment [ENVO:00002007],2022-10-28T09:15+02:00,EMT21 Wa 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,-,1.0,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 221028  macro 500um (1),metagenome,sediment [ENVO:00002007],2022-10-28T09:15+02:00,EMT21 Wa 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 221028  macro 500um (2),metagenome,sediment [ENVO:00002007],2022-10-28T09:15+02:00,EMT21 Wa 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 221028  macro 500um (3),metagenome,sediment [ENVO:00002007],2022-10-28T09:15+02:00,EMT21 Wa 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
EMO BON EMT21 So 221028 macro 500um (4),metagenome,sediment [ENVO:00002007],2022-10-28T09:15+02:00,EMT21 Wa 221028,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,3,1,0.5,Van Veen Grab sampler 0.056m2,,SoSOP2,,2022-10-28,Mesocosms Isotherm chamber,4,Jose González,https://orcid.org/0000-0003-1576-9819,,,,
