source_mat_id,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,samp_size,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_dur,samp_deposit_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orchid,ship_date
EMO BON EMT21 Wa 210825 3um (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25T10:00+02:00,EMT21 Wa 210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,1,5.0,0,3-200,200,3.0,Y,Niskin,WaSOP 1,-,47,,cryopreservation room,-80.0,Jose González,https://orcid.org/0000-0003-1576-9819,,,2021-10-11
EMO BON EMT21 Wa 210825 3um (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25T10:00+02:00,EMT21 Wa 210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,1,5.0,0,3-200,200,3.0,Y,Niskin,WaSOP 1,-,47,,cryopreservation room,-80.0,Jose González,https://orcid.org/0000-0003-1576-9819,,,2021-10-11
EMO BON EMT21 Wa 210825 3um (3),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25T10:00+02:00,EMT21 Wa 210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,1,5.0,0,3-200,200,3.0,Y,Niskin,WaSOP 1,-,,2021-08-25,cryopreservation room,-80.0,Jose González,https://orcid.org/0000-0003-1576-9819,,,
EMO BON EMT21 Wa 210825 3um (4),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25T10:00+02:00,EMT21 Wa 210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,1,5.0,0,3-200,200,3.0,Y,Niskin,WaSOP 1,-,,2021-08-25,cryopreservation room,-80.0,Jose González,https://orcid.org/0000-0003-1576-9819,,,
EMO BON EMT21 Wa 210825 3um (BLANK),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25T10:00+02:00,EMT21 Wa 210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,-,5.0,0,3-200,200,3.0,N,-,WaSOP 1,-,,2021-08-25,cryopreservation room,-80.0,Jose González,https://orcid.org/0000-0003-1576-9819,,,
EMO BON EMT21 Wa 210825 0.2um (1),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25T10:00+02:00,EMT21 Wa 210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,1,5.0,0,0.2-3,200,0.2,Y,Niskin,WaSOP 1,-,47,,cryopreservation room,-80.0,Jose González,https://orcid.org/0000-0003-1576-9819,,,2021-10-11
EMO BON EMT21 Wa 210825 0.2um (2),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25T10:00+02:00,EMT21 Wa 210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,1,5.0,0,0.2-3,200,0.2,Y,Niskin,WaSOP 1,-,47,,cryopreservation room,-80.0,Jose González,https://orcid.org/0000-0003-1576-9819,,,2021-10-11
EMO BON EMT21 Wa 210825 0.2um (3),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25T10:00+02:00,EMT21 Wa 210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,1,5.0,0,0.2-3,200,0.2,Y,Niskin,WaSOP 1,-,,2021-08-25,cryopreservation room,-80.0,Jose González,https://orcid.org/0000-0003-1576-9819,,,
EMO BON EMT21 Wa 210825 0.2um (4),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25T10:00+02:00,EMT21 Wa 210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,1,5.0,0,0.2-3,200,0.2,Y,Niskin,WaSOP 1,-,,2021-08-25,cryopreservation room,-80.0,Jose González,https://orcid.org/0000-0003-1576-9819,,,
EMO BON EMT21 Wa 210825 0.2um (BLANK),metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-08-25T10:00+02:00,EMT21 Wa 210825,Jose González,https://orcid.org/0000-0003-1576-9819,ebb_tide,-,5.0,0,0.2-3,200,0.2,N,-,WaSOP 1,-,,2021-08-25,cryopreservation room,-80.0,Jose González,https://orcid.org/0000-0003-1576-9819,,,
